sheet_row,sku,product_type,product_subtype,product_name,body_material_primary,finish_name,colour_family,mount_type,parts_list,cable_type,cable_material,img_url
38,PHXSH1PBRBM,Lighting Accessory,Pendant Lamp Holder,1m Black PVC Cable Pendant Light Holder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/40696.jpg
39,PHSH1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/720.jpg
40,PHSH1PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2545.jpg
41,PHSH1PCRCH,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 1m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2513.jpg
42,PHSH1PBRFG,Lighting Accessory,Pendant Lamp Holder,E27 Metal Lampholder,Metal,French Gold (Rose Gold Tone),French Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2512.jpg
43,PHSH1PBRRO,Lighting Accessory,Pendant Lamp Holder,E27 Metal Lampholder,Metal,Rose Gold,Rose Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2511.jpg
44,PHSH2BMTBM,Lighting Accessory,Pendant Lamp Holder,E27 Metal Lampholder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/40446.jpg
45,PHSH2BMTYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/40445.jpg
46,PHSH2PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3362.jpg
47,PHSH2PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/721.jpg
48,PHFMSH2BRBM,Lighting Accessory,Pendant Lamp Holder,E27 Black  Pendant Lamp Holder with 1m Twisted Cable,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/33018.jpg
49,PHFMSH2BRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/33003.jpg
50,PHFMSH4BRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/33004.jpg
51,PHSH2PBRBM,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3361.jpg
52,PHSH1PBRBB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Brushed Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2412.jpg
53,PHSH1PBRBC,Lighting Accessory,Pendant Lamp Holder,E27 Antique Brass Metal Lampholder,Metal,Brass,Brushed Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1091.jpg
54,PHSH1PBRRR,Lighting Accessory,Pendant Lamp Holder,E27 Antique Brass Metal Lampholder,Metal,Rustic Red,Red,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1090.jpg
55,PHSH1PBRBS,Lighting Accessory,Pendant Lamp Holder,E27 Antique Brass Metal Lampholder,Metal,Brushed Silver,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1089.jpg
56,PHHA1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3855.jpg
57,PHSP1BRTCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2003.jpg
58,PHNH1AGRGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Round Braided Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1997.jpg
